#domain,ioc,uri_path,ip
ns1.crnbchina.buzz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.242.37.176
ns1.dice1018.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.181.70.201
ns1.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.94.43.210
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
ns1.googletagmauager.com,Possible Cobalt Strike C2 Domain,/js/jquery-3.3.1.min.js,146.70.113.136
ns1.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/__utm.gif,134.122.129.173
ns1.microsoft2888.top,Possible Cobalt Strike C2 Domain,/visit.js,1.117.93.65
ns1.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/,117.50.178.197
ns1.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help,119.91.229.161
ns1.vip404.eu.org,Possible Cobalt Strike C2 Domain,/updates.rss,114.115.157.144
ns1.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png,185.32.126.51
ns1.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.106.96.225
ns2.0-2.pw,Possible Cobalt Strike C2 Domain,/__utm.gif,178.128.229.91
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,101.36.111.47
ns2.163microsoft.com,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,152.32.135.165
ns2.623866.xyz,Possible Cobalt Strike C2 Domain,/load,43.143.58.212
ns2.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,121.43.55.149
ns2.centos-yum.xyz,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.5.1.slim.min.js,167.179.84.218
ns2.crnbchina.buzz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.242.37.176
ns2.dice1018.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.181.70.201
ns2.dingtaIk.tk,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.94.43.210
ns2.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
ns2.googletagmauager.com,Possible Cobalt Strike C2 Domain,/js/jquery-3.3.1.min.js,146.70.113.136
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/ga.js,134.122.129.173
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/,117.50.178.197
ns2.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help,119.91.229.161
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain,/cx,114.115.157.144
ns2.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.106.96.225
ns3.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,121.43.55.149
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
ns3.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/,117.50.178.197
ns3.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help,119.91.229.161
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain,/j.ad,114.115.157.144
ns3.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,185.106.96.225
ns4.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help,119.91.229.161
ns8.bpibank.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.90.63.215
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/match,199.195.251.219
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,52.195.16.11
ns9.bpibank.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.90.63.215
nt1.227api.com,Possible Cobalt Strike C2 Domain,/push,154.92.16.150
nt2.227api.com,Possible Cobalt Strike C2 Domain,/load,154.92.16.150
nt3.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif,154.92.16.150
oa.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc,43.136.38.59
office365.homes,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,104.248.6.246
oss.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/micro_app/get_org_app,111.229.214.58
otomotif.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl,128.199.141.212
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/ptj,45.76.90.103
poopy.aarkhipov.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,92.63.193.141
powerbi3-dffqb3gfbudugyas.z03.azurefd.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,157.230.232.41
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,47.94.43.210
proya.cyou,Possible Cobalt Strike C2 Domain,/jquery-3.3.3.min.js,114.132.120.166
qax.gsldedie.sbs,Possible Cobalt Strike C2 Domain,/462c30d592f23b18/jquery/3.7.1/jquery.min.js,170.106.169.138
qw.scsvcreg.com,Possible Cobalt Strike C2 Domain,/tab_shop_active,5.188.86.28
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain,/j.ad,54.226.3.99
search.zfly.fun,Possible Cobalt Strike C2 Domain,/jquery-3.6.0.min.js,8.137.117.105
security-socks.expert,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL,194.165.16.55
security-socks777.com,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL,194.165.16.55
senkiv.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,92.63.193.141
service-1bsjckga-1252578700.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,113.31.105.33
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login,124.223.200.131
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/user,111.230.30.197
service-3vkzoky0-1312172028.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,116.198.34.83
service-5hq806dl-1305010017.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x,39.100.85.244
service-6qlmfr7s-1312562872.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,107.172.159.202
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,81.70.29.244
service-6y22lbhj-1318289497.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/jquery/2.0.1/jquery.min.js,81.70.163.57
service-8lop3tot-1321953982.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x,124.220.148.63
service-8rv78e5d-1319481525.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/index.jsp,162.14.77.157
service-9sehd1r7-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x,43.138.20.107
service-ac5ca85o-1314199502.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/match,43.139.107.157
service-ac5ca85o-1314199502.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/pixel.gif,43.139.107.157
service-b0kt7bkd-1307485220.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x,47.109.178.63
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/stream,123.207.50.191
service-bzbl2uq7-1312255927.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/ga.js,43.143.241.241
service-d1yss7wi-1314780031.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/www/handle/doc,43.143.186.7
service-dduj2otc-1303958398.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,119.91.45.113
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Contact/v9.23/AODFY6X8UV,142.93.2.25
service-e22kp8jz-1259321672.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/jquerys-6.3.5.max.js,43.143.168.206
service-g9r06izm-1320366142.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,43.138.168.21
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml,43.138.20.107
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB,123.207.51.53
service-inqt462u-1314366639.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,107.174.254.9
service-inqt462u-1314366639.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.12.31.24
service-izlolzm0-1318382624.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,114.132.120.166
service-j78tszan-1319584009.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain,/product,47.104.213.26
service-jj4sc5n0-1325804472.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,43.140.37.49
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Forge/static/HULNWCWI,157.245.222.152
service-k2snyjb7-1326503875.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit,119.45.224.129
service-k43f6rw9-1308954353.kr.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit,101.33.77.74
service-kj4ef32e-1252578700.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x,113.31.105.33
service-ku7vp6lj-1253504731.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x,124.222.98.112
service-ldzftvcf-1252123187.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/getit,43.136.176.207
service-lj3klqg6-1308639534.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit,111.230.25.167
