#domain,ioc
service-ldzftvcf-1252123187.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-lj3klqg6-1308639534.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-ps16whvt-1304800271.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-pw5pdob2-1301751349.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-qwflcy7c-1305872204.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain
service-r3og53uv-1303913364.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rkcvh0tf-1252325407.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain
set.urlz.ws,Possible Cobalt Strike C2 Domain
shop.amazon-aws.fr,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
static.chat5188.top,Possible Cobalt Strike C2 Domain
static.uat.html5.webdisk.media.baidu.com.cn,Possible Cobalt Strike C2 Fronting Domain
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain
su.urlz.ws,Possible Cobalt Strike C2 Domain
summerevent2023.com,Possible Cobalt Strike C2 Domain
support.meedicalabc.com,Possible Cobalt Strike C2 Domain
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain
sz-sourcetail-v4.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain
tdinsuranceapply-a0guehftc6fzegca.a03.azurefd.net,Possible Cobalt Strike C2 Domain
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain
update.360safety.xyz,Possible Cobalt Strike C2 Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.micromain.cfd,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.winservers-network.com,Possible Cobalt Strike C2 Domain
upload.windowscdn.cn,Possible Cobalt Strike C2 Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
visualstudio.microsoft.com.volcgslb-mlt.com,Possible Cobalt Strike C2 Fronted Domain
vpn.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
vsj888.shop,Possible Cobalt Strike C2 Domain
webpoint.micromoto.fun,Possible Cobalt Strike C2 Domain
wpscheckmembers.vip,Possible Cobalt Strike C2 Domain
wraimey.com,Possible Cobalt Strike C2 Fronted Domain
ww2.jji.cz,Possible Cobalt Strike C2 Domain
www.360mon.cn,Possible Cobalt Strike C2 Fronted Domain
www.614110.xyz,Possible Cobalt Strike C2 Domain
www.alipan.lol,Possible Cobalt Strike C2 Domain
www.checktimes.top,Possible Cobalt Strike C2 Domain
www.chiante1ecom.com,Possible Cobalt Strike C2 Domain
www.chinamobile.live,Possible Cobalt Strike C2 Domain
www.dahuatec.xyz,Possible Cobalt Strike C2 Domain
www.dq.sched.vip-dk.tdnsvod1.cn,Possible Cobalt Strike C2 Fronted Domain
www.fiash.info,Possible Cobalt Strike C2 Domain
www.flash-update.info,Possible Cobalt Strike C2 Domain
www.flashl.tw,Possible Cobalt Strike C2 Domain
www.flashl.tw,Possible Cobalt Strike C2 Fronting Domain
www.gfyl.fun,Possible Cobalt Strike C2 Domain
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain
www.hathawaya.xyz,Possible Cobalt Strike C2 Domain
www.installbootstrap.com,Possible Cobalt Strike C2 Domain
www.jumpsrever.top,Possible Cobalt Strike C2 Domain
www.microsoftonline.info,Possible Cobalt Strike C2 Domain
www.microsoftsendtime.shop,Possible Cobalt Strike C2 Domain
www.myhuaweicloud.com,Possible Cobalt Strike C2 Fronting Domain
www.qichen.fun,Possible Cobalt Strike C2 Domain
www.rollupdate.com,Possible Cobalt Strike C2 Domain
www.sonystore.xyz,Possible Cobalt Strike C2 Domain
www.stylejason.com,Possible Cobalt Strike C2 Domain
www.test9977.tk,Possible Cobalt Strike C2 Domain
www.testabcdtest.xyz,Possible Cobalt Strike C2 Domain
www.testtttt.com,Possible Cobalt Strike C2 Domain
www.vip8806.mom,Possible Cobalt Strike C2 Domain
www.weather.pm,Possible Cobalt Strike C2 Domain
www.weepstakes.com,Possible Cobalt Strike C2 Domain
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain
www.yamaxun.blog,Possible Cobalt Strike C2 Fronted Domain
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
yamaxun.blog,Possible Cobalt Strike C2 Fronting Domain
zj.court.cn.com,Possible Cobalt Strike C2 Domain
zx.scsvcreg.com,Possible Cobalt Strike C2 Domain
