2024-05-22 04:40:32,harugasumi,url,https://smbxikw.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,domain,smbxinf.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,url,https://smbxinf.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,domain,smbxubf.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,url,https://smbxubf.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,ip,165.154.231.17,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,ip,43.153.175.69,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:56:48,harugasumi,domain,aeno.co.jp.4ipmunk.com,#phishing,https://twitter.com/harugasumi/status/1793143955250688058
2024-05-22 04:56:48,harugasumi,url,https://aeno.co.jp.4ipmunk.com/aeon,#phishing,https://twitter.com/harugasumi/status/1793143955250688058
2024-05-22 04:56:48,harugasumi,domain,aeno.co.jp.ayaztoprak.com,#phishing,https://twitter.com/harugasumi/status/1793143955250688058
